Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,SpotPrice,npv
7964,0.0,0.0,2000.0,0.0,1000.0,0.0,17232.452325428487,984.0543309,30259297.804085962
7965,0.0,0.0,2000.0,0.0,1000.0,0.0,15154.314337066058,1164.054331,30259297.804085962
7966,0.0,0.0,2000.0,0.0,1000.0,0.0,13076.176348703631,943.0543309,30259297.804085962
7967,0.0,0.0,1000.0,0.0,0.0,0.0,12037.107354522417,674.0543309,30259297.804085962
7968,0.0,0.0,1000.0,0.0,0.0,0.0,10998.038360341203,654.0543309,30259297.804085962
7969,0.0,0.0,1000.0,0.0,0.0,0.0,9958.969366159989,662.8000925,30259297.804085962
7970,0.0,0.0,1000.0,0.0,0.0,0.0,8919.900371978774,643.3000925,30259297.804085962
7971,0.0,0.0,1000.0,0.0,0.0,0.0,7880.83137779756,643.0000925,30259297.804085962
7972,0.0,0.0,1000.0,0.0,0.0,0.0,6841.762383616346,643.3000925,30259297.804085962
7973,0.0,0.0,1000.0,0.0,0.0,0.0,5802.693389435131,643.3000925,30259297.804085962
7974,0.0,0.0,1000.0,0.0,0.0,0.0,4763.624395253919,662.8000925,30259297.804085962
7975,0.0,0.0,1000.0,0.0,0.0,0.0,3724.5554010727064,643.3000925,30259297.804085962
7976,0.0,0.0,1000.0,0.0,0.0,0.0,2685.486406891494,643.0000925,30259297.804085962
7977,0.0,0.0,1000.0,0.0,0.0,0.0,1646.4174127102815,643.0000925,30259297.804085962
7978,0.0,1814.0886053740933,0.0,1814.0886053740933,665.3754776786604,148.71312769543147,1789.5389268043655,643.0000925,30259297.804085962
7979,0.0,3195.5535516883006,0.0,3195.5535516883006,0.0,2195.5535516882956,3902.5396649491036,643.0000925,30259297.804085962
7980,0.0,4259.051875436978,0.0,4259.051875436978,0.0,3259.0518754369696,7039.051189869643,643.0000925,30259297.804085962
7981,0.0,5506.331189025766,0.0,5506.331189025766,564.4764019942933,3941.8547870314505,10832.692236908711,643.0000925,30259297.804085962
7982,0.0,5471.016066989434,0.0,5471.016066989434,529.161279957977,3941.8547870314505,14626.33328394778,643.0000925,30259297.804085962
7983,0.0,4857.39866945673,0.0,4857.39866945673,0.0,3857.3986694567234,18338.693763432908,643.0000925,30259297.804085962
7984,0.0,4120.863270287888,0.0,4120.863270287888,1000.0,2120.8632702878876,20379.812574758005,662.8000925,30259297.804085962
7985,0.0,3048.3330500782963,0.0,3048.3330500782963,1000.0,1048.3330500782963,21388.72830215334,672.8000925,30259297.804085962
7986,0.0,1183.2969605911671,0.0,1183.2969605911671,183.29696059115668,-0.0,21388.72830215334,742.8000925,30259297.804085962
7987,0.0,0.0,2000.0,0.0,1000.0,0.0,19310.59031379091,1002.800093,30259297.804085962
7988,0.0,0.0,2000.0,0.0,1000.0,0.0,17232.452325428487,1002.800093,30259297.804085962
7989,0.0,0.0,2000.0,0.0,1000.0,0.0,15154.314337066058,1002.800093,30259297.804085962
7990,0.0,0.0,1000.0,0.0,0.0,0.0,14115.245342884846,991.8000925,30259297.804085962
7991,0.0,0.0,1000.0,0.0,0.0,0.0,13076.176348703631,742.8000925,30259297.804085962
7992,0.0,0.0,1000.0,0.0,0.0,0.0,12037.107354522417,689.7720925,30259297.804085962
7993,0.0,0.0,1000.0,0.0,0.0,0.0,10998.038360341203,893.2822547,30259297.804085962
7994,0.0,0.0,1000.0,0.0,0.0,0.0,9958.969366159989,893.2822547,30259297.804085962
7995,0.0,0.0,1000.0,0.0,0.0,0.0,8919.900371978774,893.2822547,30259297.804085962
7996,0.0,0.0,1000.0,0.0,0.0,0.0,7880.83137779756,893.2822547,30259297.804085962
7997,0.0,0.0,1501.1167433611931,0.0,501.116743361193,0.0,6321.067513124666,992.7822547,30259297.804085962
7998,0.0,0.0,1000.0,0.0,0.0,0.0,5281.998518943451,992.7822547,30259297.804085962
7999,0.0,0.0,2000.0,0.0,1000.0,0.0,3203.8605305810242,992.7822547,30259297.804085962
8000,0.0,0.0,1000.0,0.0,0.0,0.0,2164.7915363998104,893.2822547,30259297.804085962
8001,0.0,0.0,1000.0,0.0,0.0,0.0,1125.7225422185968,743.2822547,30259297.804085962
8002,0.0,1719.742949977839,0.0,1719.742949977839,0.0,719.7429499778391,1818.4031572772583,743.2822547,30259297.804085962
8003,0.0,3663.3855945152104,0.0,3663.3855945152104,0.0,2663.385594515188,4381.645453438719,893.2822547,30259297.804085962
8004,0.0,4724.096666896595,0.0,4724.096666896595,0.0,3724.0966668965993,7965.716085660007,893.2822547,30259297.804085962
8005,0.0,5374.51769687068,0.0,5374.51769687068,953.8309379771235,3420.686758893542,11257.785022419152,893.2822547,30259297.804085962
8006,0.0,5596.697590361793,0.0,5596.697590361793,654.8428033303118,3941.8547870314796,15051.426069458248,893.2822547,30259297.804085962
8007,0.0,5941.8547870314615,0.0,5979.1150627580055,1000.0,3941.854787031461,18845.067116497317,992.7822547,30259297.804085962
8008,0.0,4013.6962450809283,0.0,4013.6962450809283,1000.0,2013.6962450809283,20783.04838276324,992.7822547,30259297.804085962
8009,0.0,2629.34322463644,0.0,2629.34322463644,1000.0,629.34322463644,21388.72830215334,1003.282255,30259297.804085962
8010,0.0,1222.8226273510975,0.0,1222.8226273510975,222.82262735108816,0.0,21388.728302153344,1003.282255,30259297.804085962
8011,0.0,0.0,2000.0,0.0,1000.0,0.0,19310.59031379092,1199.282255,30259297.804085962
8012,0.0,0.0,2000.0,0.0,1000.0,0.0,17232.45232542849,1208.282255,30259297.804085962
8013,0.0,0.0,2000.0,0.0,1000.0,0.0,15154.314337066062,1199.282255,30259297.804085962
8014,0.0,0.0,2000.0,0.0,1000.0,0.0,13076.176348703635,1208.282255,30259297.804085962
8015,0.0,0.0,1501.1167433611977,0.0,501.11674336119756,0.0,11516.412484030732,1003.282255,30259297.804085962
8016,0.0,0.0,1000.0,0.0,0.0,0.0,10477.343489849518,992.7822547,30259297.804085962
8017,0.0,0.0,1000.0,0.0,0.0,0.0,9438.274495668305,983.1754845,30259297.804085962
8018,0.0,0.0,1000.0,0.0,0.0,0.0,8399.205501487091,893.1754845,30259297.804085962
8019,0.0,0.0,1000.0,0.0,0.0,0.0,7360.136507305878,973.6754845,30259297.804085962
8020,0.0,0.0,1000.0,0.0,0.0,0.0,6321.067513124664,973.6754845,30259297.804085962
8021,0.0,0.0,1000.0,0.0,0.0,0.0,5281.998518943451,983.1754845,30259297.804085962
8022,0.0,0.0,1000.0,0.0,0.0,0.0,4242.929524762238,983.1754845,30259297.804085962
8023,0.0,0.0,1000.0,0.0,0.0,0.0,3203.8605305810242,983.1754845,30259297.804085962
8024,0.0,0.0,1000.0,0.0,0.0,0.0,2164.7915363998104,893.1754845,30259297.804085962
8025,0.0,0.0,1000.0,0.0,0.0,0.0,1125.7225422185968,893.1754845,30259297.804085962
8026,0.0,1609.6463294200357,0.0,1609.6463294200357,609.6463294200305,0.0,1125.7225422185968,893.1754845,30259297.804085962
8027,0.0,3814.235456437227,0.0,3814.235456437227,75.94241384746493,2738.293042589765,3761.055766406987,893.1754845,30259297.804085962
8028,0.0,5464.575725679054,0.0,5464.575725679054,1000.0,3464.575725679024,7095.36344480048,893.1754845,30259297.804085962
8029,0.0,5941.8547870314615,0.0,6130.374119970662,1000.0,3941.854787031461,10889.004491839558,893.1754845,30259297.804085962
8030,0.0,5850.195571507152,0.0,5850.195571507152,908.3407844756713,3941.8547870314505,14682.645538878627,893.1754845,30259297.804085962
8031,0.0,5230.81982857101,0.0,5230.81982857101,288.96504153954874,3941.8547870314505,18476.286585917696,893.1754845,30259297.804085962
8032,0.0,4092.1604674152495,0.0,4092.1604674152495,1000.0,2092.1604674152495,20489.781819758195,983.1754845,30259297.804085962
8033,0.0,2934.06741728509,0.0,2934.06741728509,1000.0,934.06741728509,21388.72830215334,992.6754845,30259297.804085962
8034,0.0,1225.2066214693361,0.0,1225.2066214693361,225.2066214693332,0.0,21388.72830215334,992.6754845,30259297.804085962
8035,0.0,0.0,2000.0,0.0,1000.0,0.0,19310.59031379091,1107.175484,30259297.804085962
8036,0.0,0.0,2000.0,0.0,1000.0,0.0,17232.452325428487,1163.175484,30259297.804085962
8037,0.0,0.0,2000.0,0.0,1000.0,0.0,15154.314337066058,1107.175484,30259297.804085962
8038,0.0,0.0,2000.0,0.0,1000.0,0.0,13076.176348703631,1108.175484,30259297.804085962
8039,0.0,0.0,1337.1401880916599,0.0,337.1401880916598,0.0,11686.795438384099,992.6754845,30259297.804085962
8040,0.0,0.0,1000.0,0.0,0.0,0.0,10647.726444202885,983.1754845,30259297.804085962
8041,0.0,0.0,1000.0,0.0,0.0,0.0,9608.657450021672,988.9617215,30259297.804085962
8042,0.0,0.0,1000.0,0.0,0.0,0.0,8569.588455840458,988.9617215,30259297.804085962
8043,0.0,0.0,1000.0,0.0,0.0,0.0,7530.519461659244,988.9617215,30259297.804085962
8044,0.0,0.0,1000.0,0.0,0.0,0.0,6491.450467478031,984.4617215,30259297.804085962
8045,0.0,0.0,1000.0,0.0,0.0,0.0,5452.381473296818,988.9617215,30259297.804085962
8046,0.0,0.0,1000.0,0.0,0.0,0.0,4413.312479115604,988.9617215,30259297.804085962
8047,0.0,0.0,1000.0,0.0,0.0,0.0,3374.2434849343904,988.9617215,30259297.804085962
8048,0.0,0.0,1000.0,0.0,0.0,0.0,2335.1744907531765,984.4617215,30259297.804085962
8049,0.0,0.0,1000.0,0.0,0.0,0.0,1296.1054965719632,649.4617215,30259297.804085962
8050,0.0,1813.9462726581735,0.0,1813.9462726581735,0.0,813.9462726581735,2079.447389378198,889.9617215,30259297.804085962
